de,dsb
Das Durcheinander auf dem Fußboden verschwindet für einen kurzen Moment.,Mjerwjeńca na špundowanju pózgubijo se za krotke wokognuśe.
"Ich glaube nicht, dass es mir gelingen wird, die ganze Arbeit heute Nachmittag zu beenden.","Njewěrim, až se mě raźijo, cełe źěło zakóńcyś źinsa wótpołdnja."
Mit Ihrer Unterschrift willigen Sie ausdrücklich in die Corona-Schutzimpfung ein.,Ze swójim pódpismom pśizwólijośo wuraznje šćěpjenjeju pśeśiwo koronje.
Ich kann an nichts anderes als an den Urlaub nächsten Monat denken.,Njamógu na nic drugego mysliś ako na dowol pśiducy mjasec.
Gib bitte deinen Benutzernamen oder deine E-Mail-Adresse ein.,Zapódaj pšosym swójo wužywaŕske mě abo emailowu adresu.
"Kommt herein und habt keine Angst, ich fresse euch beide nicht auf.","Pójźtej nutś a njebójtej se, ja waju njezežerjom."
Aus diesem Grunde hat Tom es Schneeweißchen genannt.,Z toś teje pśicyny jo Tom je pomjenił Šněžynka.
"Es ist so laut, dass Jan nicht hört, was die Mutter liest.","Jo tak głosnje, až Jank njesłyšy, co maś cyta."
Über dem Fußboden erstreckt sich eine einzige große nasse Pfütze.,Pó špundowanju se wupśestrěwa jadnučka wjelika mokša łuža.
Tom will mehr Zeit in der Natur verbringen.,Tom co wěcej casa pśežywiś w pśiroźe.
Tom hat sein Geld unter seiner Matratze versteckt.,Tom jo swóje pjenjeze pód swójeju matracu schował.
"Es ist das erste Mal überhaupt, dass Tom sich verspätet.","To jo zewšym prědny raz, až se Tom zapózdźijo."
"Ich war glücklich, dass sie Partei für mich ergriffen hat.","Som była glucna, až jo se za mnjo zasajźiła."
"Ich bin heute sehr beschäftigt, sonst würde ich akzeptieren.","Som źinsa śěžko nakłaźony ze źěłom, howac by akceptěrowała."
Im Trainingslager in Seefeld trainierte er weitgehend individuell.,W treningowem lěgwje w Seefeld jo wón treněrował do dalokeje měry indiwidualnje.
Die Räumarbeiten dauerten bis zum Abend.,Rumowańske źěła su trali až do wjacora.
Seine in den Gedankenkosmos erhobenen Arme fielen kraftlos nach unten.,Jogo do kosmosa myslow zwignjonej ruce stej padnułej bźezmócnje dołoj.
"Maria bemerkte, dass einer von Toms Stühlen fehlte.","Marja jo pytnuła, až jo jaden stoł wót Toma felował."
Ich habe mich im ersten Augenblick in dich verliebt.,Som se w prědnem wokognuśu zalubował do tebje.
Am ersten Schnelltest haben sich 321 Einwohner der Räckelwitzer Gemeinde beteiligt.,Na prědnem malsnotesće jo se 321 wobydlarjow Worklečanskeje gmejny wobźěliło.
Im Kuratorium ist ein(e) Vertreter(in) des Sorbischen Schulvereins e. V.,W kuratoriumje jo zastupnik / zastupnica Serbskego šulskego towaristwa z. t.
Die Arbeiter haben das Problem mit vereinten Kräften gelöst.,Źěłaśerje su problem ze zjadnośonymi mócami rozwězali.
Nicht von Beginn an ähnelten Handschriften heutigen Büchern.,Nic wót zachopjeńka su rukopisy źinsajšnym knigłam pódobne byli.
Die Weitergabe der Sprache an die junge Generation verläuft nicht zufriedenstellend.,Dalejdawanje rěcy na młodu generaciju njewótběgnjo spokojece.
"Und hast du es noch weit, erkundigte sich Hanka.","A maš hyšći daloko, jo se Hanka wobgóniła."
"Ich hoffe, ich werde sie das nächste Mal besuchen.","Naźejam se, až jej pśiducy raz woglědajom."
"Es ist nicht so, wie einige behaupten, dass jetzt Deutsch ausstirbt.","Njejo tak, ako někotare měnje, až něnto wóteměra nimšćina."
"Mach du als Pharao das Richtige, solange du lebst.","Cyń ako farao to pšawe, tak dłujko ako sy žywy."
Das trainierte Ohr vermag die Tonintensität auch besser zu verarbeiten als das Ungewohnte.,Treněrowane wucho zamóžo intensitu zuka teke lěpjej pśeźěłaś ako njezwucone.
Gerne noch etwas mehr und zusätzlich will ich einen süßen Lutscher.,Rad hyšći pitśku wěcej a pśidatnje cu słodki lizak.
"Niemand weiß, was sie dachte, als sie fortging.","Nichten njewě, co jo se mysliła, ako jo wótejšła."
"Als der Anwalt das Testament eröffnete, erhielten wir eine unangenehme Überraschung.","Ako pšawiznik jo wótwórił testament, smy dožywili njepśijazne pśechwatanje."
Finanzieren Sie sich einzig mit Anzeigen oder auch aus öffentlicher Förderung?,Financěrujośo se jano z inseratami abo teke ze zjawnego spěchowanja?
Unsere Mitarbeiterinnen und unsere Mitarbeiter stehen Ihnen gern zur Seite.,Naše sobuźěłaśeŕki a naše sobuźěłaśerje stoje Wam rady na pomocy.
"Ich weiß, wen ich anrufen kann, wenn ich Hilfe brauche.","Wěm, kogo mógu zazwóniś, gaž trjebam pomoc."
"Gelehrte Menschen arbeiten als Ärzte, Rechtsanwälte, Lehrer oder Wissenschaftler.","Wuwucone luźe źěła ako gójce, pšawizniki, wucabniki abo wědomnostniki."
"Der Lehrer, der die Klingel nicht hörte, hörte nicht auf zu reden.","Wucabnik, kenž njejo klinkanje słyšał, njejo pśestał powědaś."
"Findet ihr nicht, dass euer Französisch gut genug ist, um das Problem zu erklären?","Njemysliśo se, až jo waša francojšćina dobra dosć, problem rozwězaś?"
Von diesem Tag an hatten die kleinen Freunde wirklich ihre Ruhe.,Wót togo dnja su měli małe pśijaśele napšawdu swój měr.
Wir würden das gerne in der nächsten Bundesregierung einführen.,My by to rady zawjadli w pśiducem kněžaŕstwje.
Warum ist der Hanf eine bisher unterschätzte Ressource für die optimale Ernährung?,Cogodla su kónopje doněnta pódgódnośona resursa za optimalne zežywjenje?
Der Stiftungsrat soll im nächsten Jahr im April darüber entscheiden.,Załožbowa rada ma wó tom rozsuźiś znowa w aprylu.
"Ich wünschte, ich könnte so gut Deutsch wie Tom Englisch.","Ja by se žycyła, až mógała tak derje nimski ako Tom engelski."
"Er hat mich schon einmal belogen, und ich traue ihm nicht.","Wón jo mě južo raz nałdgał, a ja jomu njedowěrijom."
"Die Hauptaufgabe eines Senators oder Abgeordneten besteht darin, Gesetze zu erarbeiten.","Głowny nadawk senatora abo wótpósłańca wobstoj w tom, kazni wuźěłaś."
"Aber du wirst sie doch anmalen, wollte Lenka wissen.","Ale ju źe nabarwijoš, jo kśěła Leńka wěźeś."
Die Tautropfen funkelten in den Sonnenstrahlen wie Perlen.,Chrapki rose su se błyskotali w słyńcnych tšnach ako parlicki.
Die Regierungspartei hat bei der letzten Wahl die Mehrheit erlangt.,Kněžeca strona jo pśi slědnych wólbach dojśpiła wětšynu.
Rod wohnt auf der anderen Straßenseite von John.,Rod bydli na drugem boku drogi wót Johna.
"Du hast sie angeschrien, und das gefällt mir nicht.","Ty sy se tak na nju zadrěł, a to se mě njespódoba."
Lassen Sie mich zuerst eine Flasche Rotwein für uns bestellen!,Dajśo mě nejpjerwjej flašu cerwjenego wina za nas skazaś!
"Die Philosophie soll nicht die Natur, sie soll sich selbst erklären.","Filozofija njedej pśirodu, wóna ma se sama wujasniś."
"Da ich seine Nummer nicht kannte, konnte ich ihn nicht anrufen.","Dokulaž njejsom jogo numer znał, njejsom mógał jogo zazwóniś."
Der Chor des Sorbischen Gymnasiums Bautzen will das Oratorium von Martin Wetzlich aufnehmen.,Chor Serbskego gymnazija Budyšyn co nagraś oratorium wót Mjertyna Weclicha.
"Mir war nie klar, wie sehr du mir fehlen würdest!","Mě njejo žednje jasne było, kak wjelgin by mě felował!"
Hast du dich schon einmal mit deinen Eltern gestritten?,Sy se južo raz ze swójimi starjejšyma waźił?
"Komm, wir gehen jetzt gemeinsam nach Hause und kochen uns eine heiße Schokolade.","Pójź, pójźomej zgromadnje domoj a warimej sebje górucu šokoladu."
Aber normal waren die Umstände bisher eben nicht.,Ale normalne njejsu byli wobstojnosći doněnta rowno.
Es bleibt doch noch viel Zeit bis zum Januar.,Wóstanjo tola hyšći wjele casa až do januara.
"Tom und Maria sagten Johannes, ihnen sei langweilig.","Tom a Marija stej groniłej Janoju, jima jo wóstudne."
Ich werde mich jetzt sofort ein bisschen aufs Ohr hauen.,Ja se něnt ned chylu na wucho chyśijom.
Tom hat sich vor drei Wochen den rechten Arm gebrochen.,Tom jo se pśed tśimi tyźenjami pšawu ruku złamał.
"Wenn es weh tut, sei achtsam, das Leben versucht dir etwas beizubringen!","Gaž bóli, buź rozglědniwy, žywjenje wopytajo śi něco nawucyś!"
Und noch mehr lerne ich dank seiner kompetenten Mitarbeiter.,A hyšći wěcej nawuknu źěkowano swójim kompetentnym sobuźěłaśerjam.
"Sie selbst entscheiden, ob Sie sorbisch/wendisch sind oder nicht.","Wóni same rozsuźuju, lěc su serbske abo nic."
Diese Untersuchung wurde durch Fördermittel ermöglicht.,Toś to pśepytowanje se pśez spěchowańske srědki zmóžnijo.
Mit dem Windmessgerät wird die Windstärke festgestellt.,Z měridłom wětša se zwěsćijo móc wětšyka.
Hört und findet in jedem Fall das Formschema.,Słuchajśo a namakajśo w kuždem paźe formowu šemu.
"Aus Mehl, Milch und einem Ei kann man einen Kuchen backen.","Z muki, mloka a jaja móžoš sebje tykańc wupjac."
Das ist das Bild eines Affen im Zusammenhang mit dem Jahr des Affen.,To jo wobraz nałpy w zwisku z lětom nałpy.
Beide Führungsgremien haben sich klar gegen die Studiengebühr ausgesprochen.,Wobej nawjedujucej gremiji stej se jasnje pśeśiwo studijnemu płaśonkoju wugroniłej.
Das haben mir die Korrespondenten vom Nord- und Südpol geschickt.,To su mě korespondenty z pódpołnocnego a pódpołdnjowego pola pósłali.
"Tom hat mir nie erzählt, was passiert ist.","Tom njejo mě žednje wulicował, co jo se stało."
"Das Bild war nicht so, wie man es normalerweise sieht.","Wobraz njejo taki był, ako normalnje wiźiš."
"Mein Vater hatte etwas dagegen, dass ich alleine herumreise.","Mój nan jo měł něco pśeśiwo tomu, až sama wokoło jězdźim."
"Das ist derzeit das Einzige, das es im Geschäft gibt.","To jo tuchylu jadnučke, což w wobchoźe maju."
"Mein Geist dürstet nach Taten, mein Atem nach Freiheit.","Mój duch łacnjejo za statkami, mój dych za lichotu."
Unbestritten ist Österreich ein verlässliches Mitglied der Europäischen Union.,Bźez cwiblowanja jo Awstriska spušćobny cłonk Europejskeje unije.
Zur Hochzeit tanzte man auf der Häckselkammer der Bauernscheune.,Na swajźbje jo se rejowało na rězaŕni burskeje brožnje.
Der erste Preis ist ein Einkaufsgutschein im Wert von 250 Euro.,Prědne myto jo nakupowański bon w gódnośe 250 euro.
Das hätte eigentlich unser kleines Geheimnis bleiben sollen.,To jo pópšawem dejało wóstaś našo małe pótajmstwo.
Wie können wir das Gerät wieder ans Laufen bekommen?,Kak móžomy rěd zasej k běganju dostaś?
Ich wollte mich gerade schon bei dir melden.,Som kśěł se rowno južo pla tebje pśizjawiś.
Die Berechnung der Einkommensteuer sollte auf einem Bierdeckel möglich sein.,Woblicenje mytowych dankow dejało na jadnej piwowej pódłožce móžno byś.
Der dicke Stoff hat meine Nähmaschinennadel krumm gemacht.,Tłuste sukno jo glicku mójeje šyjarneje mašiny zekśiwił.
Ich möchte gern ein Rindersteak und einen gemischten Salat.,Kśěł rad měś gowjezy steak a měšany salat.
"Es versteht sich von selbst, dass Haustiere nicht erlaubt sind.","Rozmějo se wót samego, až njejsu domacne zwěrjeta dowólone."
"Du wirst dennoch aufessen, was auf deinem Teller ist.","Buźoš weto zjěsć, což jo na twójom talarju."
Computer sind die neueste technische Errungenschaft zur wirksamen Verzögerung der Büroarbeit.,Kompjutery su nejnowše techniske wudobyśe za statkowne wótwlacenje běrowowego źěła.
Das Außenskelett bedeckt den gesamten Körper und besteht aus drei Teilen.,Wenkowny skelet wobdawa cełe śěło a wobstoj z tśich źělow.
Wie können wir Tom deiner Meinung nach helfen?,Kak móžomy Tomoju pó twójom měnjenju pomagaś?
"Die Person, die man am meisten belügt, ist man selbst.","Wósoba, kótaruž nejwěcej nałdgajoš, sy ty sam."
Die Professorin und die Fotografin gehören zum archäologischen Team in Berlin an.,Profesorka a fotografka słušatej k archeologiskemu teamoju w Barlinju.
Hunde und der Kurort: Das ist eine ambivalente Beziehung.,Psy a kupjele: To jo ambiwalentny póśěg.
"Um Jeans zu nähen, benötigt man eine dickere Nadel.","Aby jeansy šył, trjebaš tłusćejšu glicku."
Die Aktion der Organisation Greenpeace war nach Polizeiangaben nicht angemeldet.,Akcija organizacije Greenpeace njejo była pśizjawjona pó informacijach policije.
"Das ist gut, so muss ich nicht andauernd etwas suchen.","To jo derje, tak njedejm stawnje něco pytaś."
"Tom ist auf einer Sitzung, aber Maria ist in ihrem Büro.","Tom jo na pósejźenju, ale Marija jo w swójom běrowje."
"Das Baby erhielt den Namen John, nach seinem Onkel.","Góletko jo dostało mě John, pó swójom wujku."
Die Wörter „schön“ und „hässlich“ sind relative Ausdrücke.,Słowje „rědne“ a „grozne“ stej relatiwnej wuraza.
"Trifft Ultraschall auf einen Gegenstand, kehren die Schallwellen zurück.","Trjefijo-li ultrazuk na pśedmjat, wrośiju se zukowe žwały."
Er will unbedingt eine Villa am Meer kaufen.,Wón co na kuždy pad kupiś wilu pśi mórju.
Das betrifft die Verfügbarkeit von Dokumenten der Ratstagungen und der Fachausschüsse.,To nastupa wužywabnosć dokumentow z pósejźenjow rady a fachowych wuběrkow.
"Ich glaube, es ist Zeit, meine Hausaufgaben zu machen.","Mě se zda, až jo na casu, swóje domacne nadawki gótowaś."
Hervorheben muss man besonders seinen langjährigen Vorsitz der Obersorbischen Sprachkommission.,Wuzwignuś ma se wósebnje jogo dłujkolětne pśedsedaŕstwo Górnoserbskeje rěcneje komisije.
"Ich möchte weniger arbeiten, dafür aber mehr Geld verdienen.","Kśěł  mjenjej źěłaś, za to pak wěcej pjenjez zasłužyś."
Mit so einem Auto brauchst du nicht heimlich durch das Fenster zu klettern.,Z takim awtom njetrjebaš kšajźu z woknom nutś zalězć.
"Wenn Sie keine E-Mail erhalten haben, haben wir Ihr Konto nicht gefunden.","Jolic njejsćo mejlku dostali, njejsmy namakali Wašo konto."
"Was wusste der Präsident, und wann hat er’s erfahren?","Co jo prezident wěźeł, a gdy jo wón to zgónił?"
Solche geheimen Machenschaften gefielen der Regierung jedoch nicht.,Take pótajmne pócynjenja pak njejsu se kněžaŕstwoju spódobali.
"Werbung für den Lehrerberuf ist schwierig, aber nicht unmöglich.","Za wucabnikojstwo wabiś jo śěžko, ale nic njemóžno."
"Ich glaube nicht, dass sich ein französischer Muttersprachler so ausdrücken würde.","Njewěrim, až by se francojski maminorěcny tak zwuraznił."
"Ich denke, japanische Schüler sind richtig gut bei der Anhäufung von Wissen.","Myslim se, japańske wukniki su napšawdu dobre pśi nakopjenju wědy."
Ich war auf der Suche nach mehrdeutigen Szenen und Charakteren.,Ja som pytał za wěcej zmysłowymi scenami a charakterami.
Tom ist noch nie zu spät zur Schule gekommen.,Tom njejo hyšći žednje pśepózdźe do šule pśišeł.
"Geben Sie dieses Buch einfach jemandem, der es möchte.","Dajśo toś te knigły jadnorje někomu, kenž je co."
So etwa beschreiben Patienten ihren Hörsturz.,Tak někak wopisuju pacienty swójo njezjapke zgubjenje słyšanja.
Warum sprichst du nicht einfach mit Tom darüber?,Cogodla ceło jadnorje njepowědaš z Tomom wó tom?
Das will ich tun und ich bin sofort dazu bereit.,To cu cyniś a som ned k tomu zwólny.
Tomo gab Manjo und Johano ein paar Fritten.,Tomo jo dał Manjoju a Johanoju pór fritkow.
Sie besteht zumeist aus kleinen finanzschwachen Organisationen ohne hauptamtliche Mitarbeiter.,Wóna wobstoj zwětšego z małych organizacijow ze snadnymi financami bźez głownoamtskich sobuźěłaśerjow.
Während des ersten Treffens war ich noch zurückhaltend.,Na prědnem zmakanju som był hyšći zdźaržny.
Eine Kelle kannst du beim Mittagessen immer gut gebrauchen!,Pócerak móžoš pśi wobjeźe pśecej derje trjebaś!
Für unsere Teilnehmer bereiten wir ein kleines Bonbon vor.,Za naše wobźělniki pśigótujomy mały plack.
Jetzt muss ich noch einmal ganz von vorne anfangen.,Něnt musym hyšći raz ceło wótprědka zachopiś.
Der rechte Arm der Freiheitsstatue ist 42 Fuß lang.,Pšawa ruka statuwy lichoty jo 42 stopow dłujka.
Vor der Präsentation ist ja die Sitzung des Beirates.,Do prezentacije wšak jo pósejźenje pśirady.
Für die Wertung erstellten wir konkrete Kriterien und Punktetabellen.,Za gódnośenje smy zestajili konkretne kriterije a dypkowe tabulki.
"Ich habe dem Arzt gesagt, dass ich nichts mehr von ihm wissen will.","Som gójcoju groniła, až njok nic wěcej wót njogo wěźeś."
Auch sie brauchten Äste und Weidentriebe für ihr Projekt.,Teke wónej stej trjebałej gałuzy a wjerbowe witki za swój projekt.
"Bevor die Gäste kamen, machte sie das Zimmer sauber.","Nježli až gósći su pśišli, jo wóna wucysćiła śpu."
Als solcher fühlte sich auch als Bowie in dieser Zeit.,Ako taki jo se teke pšawy Bowie w toś tom casu cuł.
Mein Cousin ist vermögend und hat sein Auto bar bezahlt.,Mój śeśko jo zamóžny a jo swójo awto bar zapłaśił.
"Maria sagte Tom, dass sie glaube, dass Johannes sich schäme.","Marija jo groniła Tomoju, až se jej zda, až Jan se sroma."
Tom ließ mich eine Nacht bei sich übernachten.,Tom jo mě dał jadnu noc pla sebje pśenocowaś.
"Ich warte mit Freude darauf, Nachricht von ihm zu erhalten.","Cakam z wjaselim, powěsć wót njogo dostaś."
Es gibt verschiedene Varianten von laut: nervende oder extrem gute.,Eksistěruju wšake warianty głosnego: ako na nerwy du abo ekstremnje dobre.
"Ich wette, dass es richtig einfach ist, diesen Text zu übersetzen.","Ja sajźam, až jo wjelgin jadnorje, pśełožyś toś ten tekst."
"Heute beginnt der Tag so, wie er sich gestern verabschiedet hat.","Źinsa se zachopijo źeń tak, ako jo se cora rozžognował."
"Was ist das Schlimmste, was ihr je im Leben getan habt?","Co jo nejgórše, což sćo gdy w žywjenju cynili?"
"Ich sagte ihm nicht, was wir in diesem Brief geschrieben hatten.","Njejsom jomu gronił, co smy w tom lisće pisali."
"Wenn du den Ball fangen willst, darfst du ihn nicht aus den Augen lassen.","Gaž coš balo łojś, njesmějoš jo z wócowu pušćiś."
Jeden Tag gehe ich ins Café und trinke Kaffee.,Kuždy źeń chójźim do kafejownje a pijom kafej.
In dieser Definition wird der Begriff der Umgehung zu breit ausgelegt.,W toś tej definiciji se wukładujo zapśěgnjenje wobejźenja pśeliš šyroko.
"Ihr müsst eure Gruppe erst sammeln, ehe ihr weiterziehen könnt.","Dejśo wašu kupku nejpjerwjej gromaźiś, nježli až móžośo dalej śěgnuś."
Sie ist sehr individuell gekleidet und hat ihren eigenen Stil.,Wóna jo wjelgin indiwidualnje woblacona a ma swójski stil.
Das Kinderkrankengeld geht dem Anspruch aus dem Infektionsschutzgesetz also vor.,Źiśece chórobne pjenjeze stoj pótakem pśed pšawom z kazni k infekciskemu šćitoju.
"Schafft ihr es, vor Ostern alle zu entfernen?","Zwónoźijośo wy to, do jatš wšykne wótpóraś?"
"Lieber den Magen verrenken, als dem Wirt was schenken.","Lubjej sebje brjuch zawrośiś, nježli kjarcmarjeju něco dariś."
Die Darstellung spiegelt im gewissen Sinne auch die Fastenzeit wider.,Zwobraznjenje wótbłyšćujo we wěstem měrje teke spótny cas.
Ich gebe dir diesen Ring als Zeichen meiner Liebe.,Dajom śi toś ten pjeršćeń ako znamje mójeje lubosći.
"Fahren wir doch an den See, weil das Wetter so schön ist.","Jěźomy tola k jazoroju, dokulaž jo wjedro take rědne."
Sie stellen sich damit in die Konkurrenz zu den Tonstudios.,Stupaju z tym do konkurence k zukowym studijam.
Die Ausstellung ist noch einige Wochen lang im Stadtmuseum zugänglich.,Wustajeńca jo hyšći někotare tyźenje dłujko pśistupna w měsćańskem muzeju.
"Dort wurde dann beschlossen, das Sorbengesetz zeitnah anzunehmen.","Tam pótom su wobzamknuli, serbsku kazń pśiwześ w bliskem casu."
"Die Köchin bäckt das Hühnchen, aus dem Hühnchen rinnt das Wasser.","Kuchaŕka pjaco kokoš, z kokoški běžy wóda."
Zwischen der Mutter und ihrer Tochter entspann sich ein Drama.,Mjazy maśerju a jeje źowku jo dojšło k dramje.
Meine Lieblingsheldinnen sind berufstätige Mütter mit kleinen Kindern.,Móje nejžlubše ryśaŕki su źěłajuce maśerje z małymi źiśimi.
"Woran erkennt man aber deinen Ernst, wenn auf das Wort die Tat nicht folgt?","Na com pak spóznajoš twóju pówažnosć, gaž njeslědujo słowoju statk?"
Wir sind neugierig auf die riesigen Filmhallen mit den wirklichkeitsnahen Kulissen.,Smy narske na wjelicke filmowe hale z wopšawźitosću pódobnymi kulisami.
"Ob ich nur an den Wochenenden arbeiten würde, wenn ich könnte?","Lěc by źěłała jano kóńc tyźenja, gaby mógała?"
Die Zukunft wird die Wahrheit ans Licht bringen.,Pśichod buźo wěrnosć pśinjasć na swětło.
"Lucia ist so süß, sie hat bestimmt auch ein gutes Herz!","Lucija jo taka słodka, wóna ma zawěsće dobru wutšobu!"
Eine leere CD kostet um einiges weniger als ein Real.,Prozna CDka płaśi wó něco mjenjej ako Real.
Er musste zeitlebens weit entfernt von der Heimat arbeiten.,Wón jo musał cas žywjenja daloko zdalony wót domownje statkowaś.
"So sehr du dich auch bemühst, du wirst es nicht schaffen.","Tak wjelgin ako se procujoš, ty to njezwónoźijoš."
"Ein zweiter Gedanke geht mir durch den Schädel, rief wieder der Dorfschulze.","Druga mysl mě w nopje źo, zawołajo zasej šołta."
Ich gebe Ihnen recht: In Moldawien bahnt sich eine ernsthafte politische Krise an.,Dajom wam pšawje: W Moldawskej nastawa pówažna politiska kriza.
Dank deinem richtigen Vorgehen ist alles gut gegangen.,Źěkowano twójomu pšawemu póstupowanju jo wšykno derje šło.
"Ausgetretene Pfade sind die sichersten, aber es herrscht viel Verkehr.","Wuteptane sćažki su nejwěsćejše, ale kněžy wjele wobchada."
"Vielleicht finden wir etwas, was sie doch überzeugt, überlegte Mirka.","Snaź namakajomy něco, což ju weto pśeznanijo, jo Měrka pśemyslowała."
Dieser alte Zehnmarkschein gilt schon lange nicht mehr.,Toś ta stara źaseśmarkowa bankowka južo dawno wěcej njepłaśi.
"Das war, dort stand, gleich habe ich es, der Kugelblitz!","To jo było, tam jo stojało, to ned mam, kulowy błysk!"
Zum Backen dieses Kuchens braucht man Backpulver und ungesalzene Butter.,K pjacenju togo tykańca trjebaš pjaceński pulbjeŕ a njesolonu butru.
Er kam nicht mit seinem Auto zur Arbeit.,Wón njejo pśišeł ze swójim awtom na źěło.
Das hat mich und andere zum Nachdenken angeregt.,To jo mě a dalšnych k rozmyslowanju pógnuło.
Wir wollten sie schon vor einiger Zeit dem Museum übergeben.,Smy kśěli ju južo pśed dlejšym casom muzejoju pśepódaś.
Die Aggressivität im Straßenverkehr nimmt von Tag zu Tag zu.,Agresiwnosć w nadroznem wobchaźe pśiběra źeńk ak źeńk.
Tom und Maria halfen sich gegenseitig bei den Hausaufgaben.,Tom a Marja stej se mjazsobu pśi domacnych nadawkach pomagałej.
Dies beansprucht in der Regel einen längeren Zeitraum.,To pomina sebje za wětšy  dlejšy cas.
Tom ging heute Morgen ohne sein Frühstück zu beenden.,"Tom jo wótejšeł źinsa zajtša bźez togo, až jo swójo snědanje zakóńcył."
"Einige Zähne sind zu Zimmerchen ausgebaut, andere haben schon kleine Löcher.","Někotare zuby su na śpy wutwarjone, druge maju južo źěrki."
"Auf dem Bahnhof war nichts los, weil Sonntag war.","Na dwórnišću njejo se nic stało, dokulaž jo była njeźela."
Nur einzelne Steinblöcke bestanden gegen diese riesigen Naturkräfte.,Jano jadnotliwe kamjeniska su wobstojali pśeśiwo toś tym wjelickim pśirodnym mócam.
"Du musstest für ihn ganz ordentlich blechen, oder?","Ty sy dejał za njogo ceło pórědnje móšynu tśěsć, abo?"
Ein Büschel Haare schaute unter ihrer Mütze heraus.,Gjarsć włosow jo glědała pód jeje šapku wen.
Frau Wjenkec hatte Ihnen zum letzten Mal eine Mail im August geschickt.,Kněni Wjenkec jo Wam slědny raz mejlku w awgusće pósłała.
Die Bibel ist das meistübersetzte und meistgelesene Buch der Welt.,Biblija su nejcesćej pśełožone a nejcesćej cytane knigły swěta.
Die Rüstungsindustrie ist für die Union von immenser Bedeutung.,Bronjeńska industrija ma za uniju njesnadny wuznam.
"Ich nahm ein Bad, und dann trank ich ein großes Glas Bier.","Som se wukupał, a pótom som wupił wjeliki głažk piwa."
"Ich weiß, wie man schnell eine Fremdsprache lernen kann.","Wěm, kak móžoš malsnje nawuknuś cuzu rěc."
"Ärger ist stets das Ergebnis, wenn wir erwarten, dass andere uns glücklich machen.","Gniw jo stawnje wuslědk, gaž wócakujomy, až druge nas zglucyju."
"Zurück zum Login: Geben Sie Vorname, Nachname, Bildungseinrichtung und Telefon ein!","Slědk k pśizjawjenju: Zapódajśo pśedmě, familijowe mě, kubłanišćo a telefon!"
Der Dichter Oskar war mit einer gehörigen Portion Selbstbewusstsein ausgestattet.,Basnikaŕ Oskar jo był z pórědneju porciju sebjewědobnosći wugótowany.
"Ich kann Ihrem Vorschlag nicht zustimmen, da er weder gerecht noch vernünftig ist.","Njamógu Wašomu naraźenju pśigłosowaś, dokulaž njejo daniž pšawy daniž rozymny."
Wann hast du bei dir in der Küche zuletzt saubergemacht?,Ga sy ty pla tebje w kuchni slědny raz rěšył?
Vergleichen Sie die Übersetzung und das Original noch einmal.,Pśirownajśo pśełožk a original hyšći raz.
"Vielfältig sind auch die Tierarten, die im Wasser leben.","Wjelebocne su teke družyny zwěrjetow, kótarež su we wóźe žywe."
"Einen Fehler begehen und sich nicht bessern, bedeutet wirklich fehlen.","Zmólku gótowaś a se njepólěpšyś, wóznamjenijo napšawdu se komuźiś."
Schon vor zwei Jahren haben wir uns mit diesen Plänen beschäftigt.,Južo pśed lětoma smy se z toś tymi planami zaběrali.
"Das Konzert war kurz, aber es war wirklich gut.","Koncert jo był krotki, ale jo to napšawdu derje było."
Herr Yoshida ist zu streng zu seinen Kindern.,Kněz Yoshida jo pśeliš kšuty k swójim źiśam.
Sie opferten viele Menschenleben und gewannen den Kampf.,Wóni su woprowali wjele cłowjeskich žywjenjow a su dobyli wójowanje.
Bei dieser Fußball-Europameisterschaft sitzen wieder Fans im Stadion.,Pśi toś tych europskich kopańcowych mejstaŕstwach sejźe zasej fany w stadionje.
"Mirka sprang auf: Ich kann hoch, mir macht das nicht so viel aus.","Měrka jo zeskócyła: Mógu górjej, mě to telik njewugótujo."
Dort wird sie bis heute in der Nationalbibliothek aufbewahrt.,Tam se až do źinsajšnego w narodnej bibliotece chowa.
"Tom hätte gehen sollen, als er die Chance hatte.","Tom by hyś dejał, ako jo měł wón šansu."
"Lass uns überprüfen, warum sich deine Antworten von meinen unterscheiden.","Daj nas pśeglědowaś, cogodla se twóje wótegrona wót mójich rozeznawaju."
"Was war unsere Überlegung, als wir ihm das Schwert anvertraut haben?","Co jo było našo pśemyslowanje, ako smy jomu dowěrili mjac?"
"Ich bin zu blöd, um Fremdsprachen zu lernen.","Som pśeliš głupy, aby nawuknuł cuze rěcy."
Es existieren Regelungen für die Nutzung digitaler Bildungsmöglichkeiten.,Eksistěruju rědowanja za wužywanje digitalnych kubłańskich móžnosćow.
Jugendliche wetteiferten um den PowerSerb-Pokal.,Młodostne su se wuběźowali wó pokal PowerSerba.
Frau Brězan kommt erst am Freitag wieder zur Arbeit.,Kněni Brězanowa pśiźo akle pětk zasej na źěło.
„Tom und Maria“ soll der langweiligste Roman der Welt sein.,„Tom a Marija“ dej byś nejwěcej wóstudny roman swěta.
"Die Natur ist ein Buch, das gelesen und richtig verstanden sein will.","Pśiroda su knigły, kótarež co byś cytana a pšawje rozměta."
"Was hältst du davon, einen kleinen Spaziergang zu machen?","Co źaržyš wó tom, se chylu pśechójźowaś?"
Die Wissenschaft hat nicht auf alles in der Welt eine klare Antwort.,Wědomnosć njama na wšo w swěśe jasne wótegrono.
