de,hsb
Auch Entspannungsübungen sind eine gute Strategie zur Stressbewältigung.,Tež wotputanske zwučowanja su dobra strategija k zmištrowanju stresa.
"Und er schließt mit der Feststellung, dass es keine Zauberformel geben wird.","A wón skónči ze zwěsćenjom, zo njebudźe žaneho patentneho rozrisanja."
Die Führungsfunktionen des Vorsitzenden und der stellvertretenden Vorsitzenden üben Männer aus.,Načolne funkcije předsydy a městopředsydow wukonjeja mužojo.
"Nein, ich werde mich nicht mit der Schaufel begraben!","Ně, njezahrjebam so z łopaću!"
"Die Aufgabe, Hannover und Wolfsburg zügig zu entflechten.","Nadawk, Hannover a Wolfsburg zasobu rozplesć."
Etwas Ähnliches darf nie wieder auf uns zukommen.,Něšto podobne njesmě ženje wjace na nas dóńć.
2. Analyse von Merkmalen der Landschaftskomponenten,2. Analyza přiznamjenjow krajinowych komponentow
"Sie verfügen nicht über die finanziellen Mittel, um Ihren Bedarf zu decken.","Wy njewobsedźiće financielne srědki, zo byšće swójsku potrjebu spokojał/a."
Des Eklats hätte es dafür nicht mehr bedurft.,Eklata njeby za to hižo trjeba było.
Neben seinem Beruf war er freiwillig im Altersheim in Klein-Oelsa tätig.,Nimo swojeho powołanja skutkowaše dobrowólnje w starowni we Wolešnicy.
Es weht offensichtlich ein neuer Wind.,Wočiwidnje duje nowy wětřik.
Die Sandlandschaft der Göbelner Heide besticht mit Silbergras und Bodenflechten.,Pěskowa krajina Kobjelnjanskeje hole skutkuje ze šćótku a lišawami na zemi.
Weder im Schlechten noch im Guten.,Ani w špatnym ani w dobrym.
Eine weitere Form ist die Plasmaspende.,Dalša forma je darjenje plasmy.
Trotzdem war sie immer wieder Ziel rechtsextremer Übergriffe.,Přiwšěm bě wona přeco zaso cil prawicowoekstremnych nadběhow.
Nelson Mandela war ein sehr berühmter Mann.,Nelson Mandela bě jara sławny muž.
"In jedem Fall braucht sie einen Stall, also eine Herberge in uns.","W kóždym padźe trjeba wona hródź, potajkim hospodu w nas."
Die Front der Ablehnung solcher Schocktherapie ist breit.,Fronta wotpokazanja tajkeje šokoweje terapije je šěroka.
"Bäume leben und sterben, leiden und rauschen.","Štomy su žiwe a mrěja, ćerpja a šumja."
Viele Seen sind miteinander über Kanäle verbunden.,Mnohe jězory su mjez sobu přez kanale zwjazane.
Spaten und Gemälde – ich möchte doch nicht bei Pegida demonstrieren!,Łopać a wobraz – nochcu tola pola Pegidy demonstrować!
"Nun aber ein abrupter, in seiner Lakonie fast dröhnender Rückzug.","Nětko pak abruptne, w swojej krótkosći nimale ržace cofanje."
Im Gegensatz zu den Trollen leben die Menschen in ihren Häusern.,Na rozdźěl wot kubołćikow bydla čłowjekojo w swojich domach.
"Unsere Tests zeigen: Manche Griffe sind recht klein, andere klobig.","Naše testy pokazuja: Někotre přimadła su chětro małke, druhe njelepe."
Hast recht – dieses Papier birgt viele Neuigkeiten.,Maš prawje – tuta papjera ma wjele nowosćow.
"Das Sandbahnrennen ist wahnsinnig spannend, aber mitmachen will ich nicht.","Rallye po pěskowej čarje je smjerć napjata, ale sobu činić nochcu."
"Ein absolutes Verbot von Motorbooten gilt hier, ausgenommen ist die Wasserwacht.","Absolutny zakaz motorskich čołmow tu płaći, wuwzata je wódna straža."
Das stimmt zum Teil.,To zdźěla trjechi.
Insgesamt nehmen über 1.300 Männer teil.,Cyłkownje wobdźěla so wjace hač 1.300 muži.
Hier finden Sie das Merkblatt zur Arbeitnehmerüberlassung.,Tu namakaće informaciske łopjeno wo přewostajenju dźěłopřijimarjow.
Wir benötigen das zur Anwendung des obersorbischen Sprachkorpus.,Trjebamy to k wužiwanju hornjoserbskeho rěčneho korpusa.
Was die Entwaffnung und Zerschlagung von Hamas voraussetzen würde.,Štož by sej wotbrónjenje a rozbiće Hamas wuměniło.
Die Bestimmung der Entfernung auf Karten lern ihr hier.,Postajenje zdalenosće na kartach nawuknjeće tu.
"Krebs, an dem die meisten Deutschen sterben, ist Lungenkrebs.","Rak, na kotryž najwjace Němcow zemrěje, je rak płucow."
"„Warte ab“, denkt er sich und beißt seine Zähne zusammen.","„Dočakaj“, sej mysli a zakusnje swoje zuby."
Zu einem festlichen Abendessen gehört Tafelspitz.,K swjatočnej wječeri słuša warjene howjaze mjaso.
In ihr sind die wesentlichen Handlungslinien ausgeführt.,W njej su bytostne jednanske linije wuwjedźene.
Berechne die West-Ost-Ausdehnung Asiens und vergleiche sie mit Europa.,Wulič rozměr mjez zapadom a wuchodom Azije a přirunaj jón z Europu.
Beispielhaft dafür steht ein Film des Regisseurs Roberto Rossellini.,Charakteristisce za to steji film režisera Roberta Rossellinija.
Aber so ein Perlennetz würde mir gut stehen.,Ale tajki sačk by mi derje přistał.
Und drittens sollte ein europäischer Rat für Minderheiten geschaffen werden.,A střeća měła so europska rada za mjeńšiny wutworić.
Humor macht das Produkt nahbar und sympathisch.,Humor čini produkt bliski a sympatiski.
Viele Menschen haben wirklich noch nie die Milchstraße gesehen.,Mnoho ludźi njejsu woprawdźe hišće ženje Njebjesku dróhu widźeli.
Die ein Jahrhundert andauernde Braunkohleförderung hinterlässt dem sorbischen Volk große Verluste.,Lětstotk trajace wudobywanje brunicy zawostaji serbskemu ludej wulke straty.
"Doch, ich war sehr wütend.","Tola, běch jara hněwna."
Die Revolution von 1848 verstärkte diese weltlichen Konflikte zusätzlich.,Rewolucija 1848 tute swětne konflikty přidatnje zesylni.
Die Beziehung zwischen beiden muss gut und gerecht sein.,Poćah mjez woběmaj dyrbi dobry a sprawny być.
„Willkommen in der Welt der Gotik!“,„Witajće do swěta gotiki!“
"Diese „Minnie“, ich meine, sie heißt mit richtigen Namen Maria Luisa.","Tuta „Minnie“, měnju, wona rěka z prawymaj mjenomaj Marja Luiza."
"Es bilden sich kleine Äderchen, die bis zur verletzten Hornhaut reichen.","Wutworja so małe žiłki, kotrež hač k zranjenej rohowce sahaja."
"Symbolik: Verkörpert Ideale von Tugend, Treue und Opferbereitschaft.","Symbolika: Sćělesnja ideale pócćiwosće, swěry a woporniwosće."
Den Strick brauche ich mit Sicherheit noch.,Štryk zawěsće hišće trjebam.
Dies kann nach einiger Zeit körperlich anstrengend sein.,Tole móže po času ćělnje napinace być.
Dieses Haus beherbergte die Drogerie Bauer.,Tutón dom chowaše we sebi drogeriju Bauer.
"Kinder sollten erfahren, dass sie gefordert und anerkannt werden.","Dźěći měłe nazhonić, zo so wužaduja a připóznawaja."
Der Genuss von magerem Speck ist auch fettarm möglich.,Jědźenje małotučneho połća je tež z mało tukom móžne.
Das Korpus sorbischer medizinischer Ausdrücke ist relativ kärglich.,Korpus serbskich medicinskich wurazow je poměrnje snadny.
Sie können sogar kopfüber an Baumstämmen laufen.,Woni móža samo z hłowu dele na zdónkach štomow běžeć.
Auf jeder Gesellschaft ist Peter der Hecht im Karpfenteich und Störenfried.,Na kóždej zabawje je Peter chrobolak a škerjedźak.
Bei Jugendlichen haben die Erziehungsberechtigten ein Recht auf Verfahrensbeteiligung.,Pola młodostnych maja woprawjeni za kubłanje prawo na wobdźělenje při jednanju.
Ich wünsche dir viel Glück.,Přeju ći wjele zboža.
Auch heute gibt es immer wieder noch Übergriffe auf Sorben.,Tež dźensa su zaso a zaso hišće přesahi na Serbow.
"Unachtsamkeit ist dann besonders ärgerlich, wenn sie im Gewande der Achtsamkeit daherkommt.","Njekedźbliwosć je potom wosebje mjerzaca, hdyž w zwokownym kedźbliwosće wustupuje."
"Ihr habt das Recht, gesittet Pfui zu sagen.","Wy maće prawo, přistojnje fuj rjec."
"Die Mineralbestandteile weisen eine flache, parallele Ausrichtung auf.","Mineralne wobstatki wupokazuja płone, paralelne wusměrjenje."
Moses war vorige Woche zu einem Essen bei Friedrich eingeladen.,Mójzes bě tydźenja na jědź pola Friedricha přeprošeny.
Ein Testament setzt die gesetzliche Erbfolge außer Kraft.,Testament wusadźi płaćiwosć zakonskeho namrěwskeho slěda.
"Egal, wie die Könige heißen.","Wšojedne, kak kralojo rěkaja."
Die Mutter hat ihren Nachwuchs verlassen.,Mać je swój dorost wopušćiła.
Er nahm sie in seine großen Arme.,Wón wza ju do swojich wulkich rukow.
Roland stand vor ihr und lachte etwas verschmitzt.,Roland steješe před njej a směješe so trochu šibale.
Mit Medikamenten lässt sich die fortschreitende Krankheit vorübergehend aufhalten oder verlangsamen.,Z medikamentami hodźi so pokročowaca chorosć nachwilnje zadźeržeć abo spomalić.
"Papa, glaubst du an das Gleichnis vom verlorenen Sohn?","Nano, wěriš do přirunanja wo zhubjenym synje?"
Er faszinierte durch seine Unbedingtheit.,Wón fascinowaše přez swoju absolutnosć.
Außerdem hat die Geschäftsstelle einen Film zum Werben von Nachwuchs produziert.,Nimo toho je zarjad film za wabjenje dorosta produkował.
Du hast die Ludken demnach gefunden!,Sy lutki potajkim namakał!
Erzähl den Mitschülern/innen von deinen Erinnerungen an die Vogelhochzeit!,Powědaj sobušulerjam a sobušulerkam wo swojich dopomnjenkach na ptači kwas!
Wie spät ist es?,Kak na času je?
Und trotzdem wusste ich: Sie ist krank.,A přiwšěm wědźach: Wona je chora.
"Sein Freund habe eine Handbewegung gemacht, wie man Fliegen vertreibt.","Jeho přećel je z ruku machnył, kaž so muchi wućěrja."
Außerdem lösen wir so Anspannungen.,Nimo toho pušćimy tak napjatosće.
Doch es sollte anders kommen.,Tola měło hinak přińć.
Keiner der Häuslebauer möchte in meinem Land ein Haus kaufen.,Nichtó z chěžkotwarcow nochce w mojim kraju chěžu kupić.
4. Beurteilung des Wirkens des Menschen,4. Posudźowanje skutkowanja čłowjeka
In der Bibel steht … eine Geschichte von einem blinden Mann.,W bibliji steji … stawizna wo slepym mužu.
Wähle zwei Landschaften und analysiere die Landschaftskomponenten und vergleiche diese.,Wuzwol sej dwě krajinje a analyzuj krajinowe komponenty a přirunuj tute.
Abermals wurde auch in der Räckelwitzer Schule der Maibaum abgesägt.,Wospjet su tež we Worklečanskej šuli meju podrězali.
"Dort ganz im Norden, da liegt das Land der norwegischen Trolle.","Tam cyle na sewjeru, tam leži kraj norwegskich kubołćikow."
"Ich genieße die Zeit, die wir zusammen verbringen.","Wužiju čas, kotryž zhromadnje wužiwamoj."
Ich finde Schnee aber toll.,Mam pak sněh za wulkotny.
"Robert drängt es zum Wort, zu Worten.","Roberta ćěri k słowu, k słowam."
Die Globalisierung vollzieht sich in allen Bereichen der Gesellschaft.,Globalizacija wotměwa so we wšitkich wobłukach towaršnosće.
Das schlechte Gewissen lässt ihn nicht einschlafen.,Hubjene swědomje jemu wusnyć njeda.
Übrigens findet ihr uns ab sofort auch auf Bluesky.,Připódla prajene namakaće nas wotnětka tež na Bluesky.
"Embryonale Stammzellen finden wir, wie der Name schon verrät, in Embryos.","Embryonalne rodobańki nadeńdźemy, kaž mjeno hižo přeradźa, w embryjach."
"Einteilung der Böden nach Korngrößenzusammensetzung (zum B. Tonboden, Sandboden).","Rozrjadowanje pódow po zestawje wulkosće zornjatkow (na př. hlinjana póda, pěskojta póda)."
Tom schien von sich selbst überzeugt zu sein.,Tom zdaše so wo sebi samym přeswědčeny być.
Dein Wissen zu diesem Thema ist mittelmäßig.,Twoja wěda wo tutej temje je srěnja.
20 evangelische Landeskirchen mussten 2023 ebenfalls Einbußen hinnehmen.,20 ewangelskich krajnych cyrkwjow dyrbješe 2023 tohorunja straty znjesć.
Zu einem schnellen Abendessen gehört Toastfleisch.,K spěšnej wječeri słuša toastowe mjaso.
"Japan befindet sich in einem Gebiet, dass die außertropischen Monsune beeinflussen.","Japanska leži w kónčinje, kotruž wobwliwuja zwonkatropiske monsuny."
Auf welcher Seite stand der albertinische Herzog Moritz?,Na kotrej stronje steješe albertinski wójwoda Moric?
Babywindeln und Leute an der Macht müssen nicht regelmäßig gewechselt werden.,Babyjowe pjeluški a ludźi při mocy njedyrbja so prawidłownje wuměnjeć.
Generell läuft eine Stressreaktion bei allen Menschen sehr ähnlich ab.,Generelnje wotběži stresowa reakcija pola wšitkich ludźi jara podobnje.
"Erhöhung von Neurotransmittern: Steigerung der Dopaminfreisetzung, was Belohnungsgefühle fördert.","Zwyšenje neurotransmiterow: stopnjowanje wupušćenja dopamina, štož začuća mytowanja spěchuje."
"Viele unangebrachte Nachrichten führen zu einem harten, defensiven Ton.","Mnohe njepřistojne powěsće wjedu ke krutemu, defensiwnemu tonej."
Deshalb begleiteten bewaffnete Soldaten die Frachtwagen.,Tohodla přewodźachu wobrónjeni wojacy nakładne wozy.
Zwar hätte auch die italienische Resistenza ohne die Alliierten keine Chance gehabt.,Drje njeby tež italska Resistenza bjez aliěrowanych žanu šansu měła.
"Ich befürchte aber, dass dein Plan nicht aufgehen wird.","Boju pak so, zo so twój plan njeporadźi."
"Später schrieb Bichsel doch noch einen Roman, wenngleich einen schmalen.","Pozdźišo napisa Bichsel tola hišće roman, byrnjež ćeńki."
"Bevor sie heimkommt, werde ich von hier weggehen.","Prjedy hač wona domoj přińdźe, wottud woteńdu."
"Sie behaupteten ernsthaft, aus Notwehr zu handeln.","Woni chutnje twjerdźachu, zo jednaja z nuzoweho wobaranja."
Podsol wird manchmal auch als Bleicherde genannt.,Podsol mjenuje so druhdy tež blěda pjeršć.
Größere Schiffe können dann die Häfen anlaufen.,Wjetše łódźe móža potom do přistawow přistawać.
Unter dem Mäntelchen der Harmonisierung werden Sie die soziale Sicherheit zerstören.,Pod płašćikom harmonizacije zničiće socialnu wěstotu.
"Es ruft zu alten, jedoch zeitgenössisch gewendeten Tugenden auf.","Namołwja k starym, ale načasnje přetworjenym počinkam."
Das ist „Luthers und Lucifers einträchtige Vereinigung“.,To je „Přezjedne zjednoćenje Luthera a Lucifera“.
Die Naturschutzmaßnahmen werden durch ein intensives Monitoring begleitet.,Intensiwny monitoring naprawy přirodoškita přewodźuje.
"Sie sagen, sie haben dich links liegengelassen, dich infrage gestellt.","Praja, zo njejsu će zańč měli, će do prašenja stajeli."
Ihre Anführer wurden zur Abschreckung grausam hingerichtet.,Jich wjednicy buchu k wottrašenju surowje wotprawjeni.
Die Brühwurst muss nach dem Kochen schnell abgekühlt werden.,Parjena kołbasa dyrbi so po warjenju spěšnje wochłódnić.
Sie zog ihr Handy aus der Tasche und rief sie an.,Wona wućahny swój handy ze zaka a pola njeje zazwoni.
Auf dem Töpfermarkt höre ich gemischtes Gemurmel.,Na hornčerskich wikach słyšu měšane bórbotanje.
"Zu schönen, gesetzten, gefälligen, getragenen, ermunternden Worten.","K rjanym, rozwažnym, spodobnym, dostojnym, pozbudźowacym słowam."
Eulen haben keine Augäpfel zur Verfügung.,Sowy nimaja žane wóčne jabłuka k dispoziciji.
Regionalverbände und Mitgliedsvereine/Verbände haben wir in die Erarbeitung der Richtlinien eingebunden.,Župy a čłonske towarstwa/zwjazki smy do wudźěłanja směrnicow zapřijeli.
Das erste McDonald's-Restaurant in Deutschland eröffnete am 4. Dezember 1971.,Prěni McDonald's-restawrant w Němskej wotewri so 4. decembra 1971.
"Wir stellen fest, dass die Ablösung der Fronen ihre an Gnade reichen Früchte trägt.","Zwěsćamy, zo wotwjazanje robotow swoje hnady połne płody njese."
"Also Männer, lasst uns rausgehen und das Spiel für uns entscheiden.","Potajkim mužojo, wuńdźmy won a rozsudźmy hru za nas."
Der feine Rauchgeschmack des Würstchens nach Frankfurter Art war unverkennbar.,Drobny słód kura kołbaski po Frankfurtskim wašnju bě cyle wosebity.
"Ich habe ziemlich früh begonnen, Klavier spielen zu lernen.","Sym chětro zahe započinała, hraće na klawěrje wuknyć."
"Gott hilf, dass ich die Nadel nicht verliere!","Bóh dał, zo jehłu njezhubju!"
Ein Gewerbe ist jede erlaubte wirtschaftliche selbstständige Tätigkeit.,Přemysło je kóžda dowolena hospodarska samostatna dźěławosć.
Dabei bildet sich eine Salzkruste.,Při tym twori so selowa skora.
Viele Dinge habe ich neu dazu gelernt.,Wjele wěcow sym nowje přiwuknył.
"Den Angehörigen fällt dann die Aufgabe zu, die Wohnung oder das Haus leerzuräumen.","Přiwuznym připadnje potom nadawk, bydlenje abo dom wurumować."
Seine Bilder und Plakate sind mir nahe.,Jeho wobrazy a plakaty su mi bliske.
Doch auch hier ist der allgemeine Gesundheitszustand schlecht.,Tola tež tu je powšitkowny strowotniski staw špatny.
Die Regierung kauft Reis zu Festpreisen ein und lizenziert den Export.,Knježerstwo nakupuje rajs ke krutym płaćiznam a licencuje wuwoz.
Keines der grundlegenden Probleme der sogenannten Osterweiterung ist gelöst.,Žadyn ze zakładnych problemow tak mjenowaneho rozšěrjenja na wuchod je rozrisany.
"Kriege gibt es mehr als genug, Frieden nirgendwo.","Wójnow je nadosć, měra nihdźe."
Die vakante Stelle in Crostwitz schreibt die LaSuB erneut aus.,Wakantne městno w Chrósćicach LaSuB znowa wupisa.
Die drei besten Künstler können sich über einen ganz besonderen Preis freuen.,Třo najlěpši wuměłcy móža so nad cyle wosebitym mytom wjeselić.
"Mancher, der reinen Tisch macht, beschmutzt nur den Fußboden.","Někotryžkuli, kiž blido porjadkuje, womaza jenož špundowanje."
Da redete sich einer für viele in Rage.,Tu so jedyn za mnohich do rozhorjena rěči.
Früher trank ich aus Angst vor dem nächsten Tag.,Něhdy pijach ze stracha před přichodnym dnjom.
Immer wieder stechen dem Leser falsch gesetzte Beistriche ins Auge.,Přeco zaso bija čitarjej wopak stajane smužki do wóčka.
Das deftige Fettschnittchen war eine typische Bergmannsvesper.,Jakna šmałcowa pomazka bě typiska swačina hórnikow.
Im Schleifer Kirchspiel geht das Christkind durch das Dorf.,W Slepjanskej wosadźe chodźi Bože dźěćetko po wsy.
Das allgemeine Wohlbefinden des Tieres wird gemindert.,Powšitkowne derjeměće zwěrjeća so zniži.
Das bedeutet: Politik findet immer in einem Raum grundsätzlicher Unsicherheit statt.,To woznamjenja: Politika wotměwa so přeco w rumje zasadneje njewěstosće.
Das war ein Schlüsselsatz für mich.,To bě klučowa sada za mnje.
Warum sich der Filterkaffeemaschinen-Test für Sie lohnt.,Čehodla so test kofej filtrowanskich mašinow za Was wudani.
Das zeugt von der hintergründigen Macht der Versöhnungsbotschaft.,To swědči wo skradźnej mocy poselstwa wo wujednanju.
Der Erste Weltkrieg und die Zeit des Nationalsozialismus unterbrachen die fleißige Arbeit der Imker.,Prěnja swětowa wójna a čas nacionalsocializma přetorhnyštej pilne dźěło pčołarjow.
Auf die Internetpräsentation der Grünen wolle sie aber nicht reagieren.,Na internetnu prezentaciju Zelenych pak wona reagować nochce.
Es bestehen sogenannte Innovationscluster und Innovationsnetzwerke.,Wobsteja tak mjenowane inowaciske clustery a inowaciske syće.
Sie fühlen sich wohl und in Sicherheit.,Čujeće so derje a we wěstosći.
Stockwerkaufbau und Nährstoffkreislauf im tropischen Regenwald,Poschodowy natwar a kołoběh wutkow w tropiskim dešćowym lěsu
"Seit er Bundeskanzler ist, agiert er anders.","Wot toho časa, zo je zwjazkowy kancler, agěruje hinak."
Der Bürgermeister kann die Verhandlungsleitung an einen der Gemeinderäte abgeben.,Wjesnjanosta móže nawod jednanja na jednoho z gmejnskich radźićelow wotedać.
Wer ist kein niedersorbischer Schriftsteller?,Štó njeje delnjoserbski spisowaćel?
Die sorbische Sprache meiner Mutter beherrsche ich nur passiv.,Serbsku rěč mojeje maćerje wobknježu jenož pasiwnje.
"Es war bereits zwanzig Uhr, und wir befanden uns schon in der Luft.","Bě hižo dwaceći hodźin, a běchmy hižo w powětře."
Die Verbrennungen vierten Grades sind noch dramatischer.,Wopalenja štwórteho stopjenja su hišće bóle dramatiske.
Deshalb wurde die heimische Arbeit als Imker gefördert.,Tohodla so domjace pčołarjenje spěchowaše.
Habeck stellt sich dieser Aufgabe schon eine ganze Weile.,Habeck wupraji so tutomu nadawkej hižo cyłu chwilu zwólniwy.
"Spam-Anrufe adé: Diese 6 Tipps helfen dir, nervige Anrufer loszuwerden.","Spam-telefonaty adej: Tute 6 pokiwy ći pomhaja, nerwatych zawołarjow wotbyć."
Das geplante XIV. Internationale Folklorefestival „Łužica“ wird im nächsten Jahr nicht stattfinden.,Planowany XIV. Mjezynarodny folklorny festiwal „Łužica“ klětu njebudźe.
Die Volkshochschule Bautzen ist in Bautzen.,Ludowa uniwersita Budyšin je w Budyšinje.
Das verbliebene lange Schilfrohr legten wir in die sogenannte Fußbank.,Zwostatu dołhu sćinu kładźechmoj do tak mjenowaneje hečki.
"Danach sank sie in eine endlose, aber klare Tiefe.","Po tym padny wona do bjezkónčneje, ale jasneje hłubiny."
"Diese Winterstarre endet spätestens im April, oft schon im März.","Tute zymske sprostnjenje skónči so najpozdźišo w aprylu, husto hižo w měrcu."
Eröffnet und ausgebaut wurde die neue Straßenverbindung in das benachbarte Burk.,Wotewrjeny a wutwarjeny bu nadróžny zwisk do susodneho Bórka.
Zwar hat sich der Pressesprecher inzwischen selbst suspendiert.,Drje je so nowinski rěčnik mjeztym sam suspendował.
Als würden sie für das Land und ihre Partei brennen.,Jako byštaj so za kraj a swoju stronu paliłoj.
Herrliche Zeit für eine Zuflucht in der blühenden Natur!,Překrasny čas za wućek w kćějacej přirodźe!
"Sie begruben Häuser, Hotels, Schulen und Fabriken – und Tausende Menschen.","Pohrjebachu domy, hotele, šule a fabriki – a tysacy ludźi."
Der Weihnachtsmann mit seinen Rentieren war auch schon da.,Rumpodich ze swojimi sobami tu tež hižo poby.
Besonders die Stickereien auf der Tracht haben es ihr sehr angetan.,Wosebje wušiwanja na drasće so jej jara lubjachu.
"Du wirst daraus alle Gestalten wieder hervorrufen, die du begehrst.","Ty wuwołaš z toho wšitke postawy zaso, kotrež požadaš."
1. Exposition: Die Exposition gibt Informationen über Hintergründe und Akteure.,1. Ekspozicija: Ekspozicija podawa informacije wo pozadkach a akterach.
"Wer arbeitslos wird, bekommt zum Beispiel Arbeitslosengeld.","Štóž je bjezdźěłny, dóstanje na přikład pjenjez bjezdźěłnych."
Auf dem Cottbusser Ostsee soll eine große schwimmende Fotovoltaikanlage entstehen.,Na Choćebuskeho wuchodnim jězoru ma wulka płuwaca fotowoltaikowa připrawa nastać.
Deshalb soll in absehbarer Zeit über die Erneuerung des Staatsvertrages verhandelt werden.,Chcedźa tuž w dohladnej dobje wo ponowjenju statneho zrěčenja jednać.
"Eigentlich weiß ich überhaupt nicht, worüber ich morgen mit Peter reden sollte.","Poprawom scyła njewě, wo čim měł jutře z Pětrom rěčeć."
Viel weiß man über diese Lebensräume bis heute nicht.,Wjele wo tutych žiwjenskich rumach do dźensnišeho njewěmy.
Die untere Seite ist hell und rot.,Spódni bok je swětły a čerwjeny.
Er ist nicht zu Hause - das ist erstmal alles.,Wón njeje doma - to je najprjedy raz wšo.
"Die Leute betätigen sich in verschiedenen Branchen, wie Bäcker oder Fleischer.","Ludźo skutkowachu wšelakich branšach, kaž pjekarjenje abo rěznistwo."
Die der USA ohnehin.,Tón USA tak a tak.
"Sie zählt auf internationaler Bühne, ist aber kein Schwergewicht.","Wona liči na mjezynarodnym jewišću, njeje pak ćežka waha."
"Man glaubt, dass sie Albträume verhindern und Glück bringen soll.","Ludźo wěrja, zo ma wona dušacym sonam zadźěwać a zbožo přinjesć."
Hier fallen wegen der Höhenlage mit die meisten Niederschläge Sachsens.,Wysokostneho połoženja dla napada tu sobu najwjace spadkow w Sakskej.
Dicht und dürftig besiedelte Gebiete der Erde.,Husće a rědko wobsydlene kónčiny zemje.
Diese regnen ab und das Wasser verdunstet erneut.,Tute so wudešćuja a woda so znowa wuparja.
Bitte ruf mich morgen früh auf jeden Fall an.,Prošu zazwoń jutře rano na kóždy pad na mnje.
Wahrscheinlich beschränkte sich der Pfarrer auf die Wahrnehmung seiner Amtspflichten.,Prawdźepodobnje wobmjezowaše so farar na wukonjenje swojich zastojnskich winowatosćow.
Ich sehe deine Katze im Garten.,Widźu twoju kóčku na zahrodźe.
Das Buch erschien anlässlich des diesjährigen 800-jährigen Jubiläums von Malschwitz.,Kniha je wušła składnostnje lětušeho 800lětneho jubileja Malešec.
Auch dort ist nicht alles im grünen Bereich.,Tež tam njeje wšitko w prawym porjadku.
Angefertigt hat sie die Künstlerin Dorothea von Philipsborn.,Zhotowiła je ju wuměłča Dorothea von Philipsborn.
Asien ist nach Fläche und Bevölkerung der größte Kontinent der Erde.,Azija je po přestrjeni a ludnosći najwjetši kontinent zemje.
"Ich fände es toll, wenn du für mich Abendessen kochen würdest.","By wulkotnje było, by-li mi wječer warił."
Die Lämmer sind unzureichend versorgt und entwickeln sich nicht regelrecht.,Jehnjata su njedosahajcy zastarane a so prawidłownje njewuwiwaja.
Der Einzelne darf während des Turniers nur in einer Mannschaft antreten.,Jednotliwc smě w běhu turněra jenož w jednym mustwje nastupić.
"Als das Urteil gegen ihn gefällt war, sprach Trump von einer Schande.","Jako bě wusud přećiwo njemu padnył, rěčeše Trump wo hańbje."
"Es war so kalt, dass ich den ganzen Tag zu Hause blieb.","Bě tak zyma, zo cyły dźeń doma wostach."
"Nein, sonst stinkt es hier nach altem Käse.","Ně, hewak smjerdźi tu za starym twarožkom."
In seiner persönlichen Stellungnahme sagt er unter anderem:,We wosobinskim stejišću wón mjez druhim zdźěli:
Vor kurzem lag das außerhalb meiner Fantasie.,Před krótkim ležeše to zwonka mojeje fantazije.
"So wird es nun tagein, tagaus weiter und weitergehen.",Tak nětko dźeń wote dnja dale a dale póńdźe.
"Was eine Warnung sein soll, klingt eher wie eine Drohung.","Štož ma warnowanje być, klinči skerje kaž hroženje."
Die Kämme sind blass und hängen nur noch.,Rjemjenje su blěde a jenož hišće wisaja.
"Alter, wie cool ist das denn.","Zaklate, kak cool da to je."
In großen Betrieben ist Schichtarbeit möglich.,We wulkich zawodach je dźěło w změnach móžne.
Jesus bleibt stehen und sagt: „Ruft ihn her!“,Jězus wostanje stejo a praji: „Wołajće jeho sem!“
Er will ihr durchs Abteilfenster noch einmal die Hand reichen.,Wón chce jej přez wokno wotdźěla hišće raz ruku zawdać.
Weil sie ein jähes Ende gefunden hat.,Dokelž je měła njejapki wukónc.
Hört sich gut an?,Poska so derje?
"Und da fraß sich die Katze dort satt, die alte, nicht wahr?","A tuž je so kóčka tam nažrała, ta stara, něwěrno?"
In welchem Stil wurde die Räckelwitzer Kapelle einst erbaut?,W kotrym stilu so Worklečan kapałka něhdy natwari?
Ich widme mich zurzeit dem Impressum des Online-Übersetzers.,Wěnuju so tučasnje impresumej onlinepřełožowaka.
Das ist kein Geschenk.,To njeje žadyn dar.
Das Leben der Menschen ist geprägt von Affektiertheit und Heuchelei.,Žiwjenje ludźi je charakterizowane wot afektowanosće a tajenstwa.
Dr. Cordula Ratajczakowa betonte.,Dr. Cordula Ratajczakowa wuzběhny.
Das würzige Corned Beef wurde nach traditionellem Rezept zubereitet.,Korjenity corned beef su po tradicionalnym recepće přihotowali.
Viele Menschen in Deutschland machen sich Sorgen über die Lage des Vaterlandes.,Wjele ludźi w Němskej so dla połoženja wótčiny starosća.
Die frühen Sarkophagreliefs und Mosaike können dann gesondert behandelt werden.,Zažne reliefy na sarkofagach a mozaiki hodźa so potom jednotliwje wobjednawać.
Die Bundestagsabgeordnete hob das Engagement der Touristiker für dieses Ereignis besonders hervor.,Zapósłanča Zwjazkoweho sejma wuzběhny angažement turistikarjow za tónle podawk.
Ich bin doch kein Bäcker!,Njejsym tola žadyn pjekar!
Er wärmte sich die Flecke in der Mittagspause auf.,Wón zwohrěwa sej kałdony we wobjedowej přestawce.
Er freut sich über den Blumenstrauß Stiefmütterchen.,Wón so nad kwěćelom syrotkow wjeseli.
Das haben die Genossen ihn spüren lassen.,To su towaršojo jeho začuwać dali.
Die sorbischen Aufschriften überdecken dabei die deutschen Aufschriften.,Serbske napisy při tym němske napisy zakrywaja.
Der Mann verspricht dem Irrlicht Geld.,Muž slubi błudničce pjenjezy.
