hsb,dsb
"Wšitke zwěrjata, nimo liški, du do prózdnjeńcy nutř.","Wšykne zwěrjeta, mimo liški, du do jamy nutś."
Njedyrbiš rjejić; ty dyrbiš jenož jasnje rěčeć.,Njemusyš kśikaś; musyš jano jasnje powědaś.
Wokomiknje njemóžu bohužel ćišćeć; mój kolega trjeba ćišćaka hišće chwilu.,We wokognuśu njamógu bóžko śišćaś; mój kolega trjeba śišćaka hyšći chylu.
Sym swojeho psa přeco na předwječoru picował.,Som swójogo psa pśecej na pśedwjacorje futrował.
Sym swoje psy přeco na zahemu wječoru picował.,Som swóje psy pśecej na ranem wjacoru futrował.
Měšćanski centrum njemóžeće z awtom docpěć.,Měsćański centrum njamóžośo z awtom dojśpiś.
"Wona pospyta tykanc, zo by widźała, hač je słódki dosć.","Wóna jo wopytała tykańc, aby wiźeła, lěc jo słodki dosć."
"Ja mam wotpohlad, tydźeń dołho tu wostać.","Ja mam wótglěd, tyźeń dłujko how wóstaś."
Tom hladaše do špihela a wuhlada starca.,Tom jo glědał do glědałka a jo wuglědał starca.
"Wón so skřiwi, zo by doprědka přišoł a karjeru činił.","Wón jo se skśiwił, aby doprědka pśišeł a karieru cynił."
"Tom so starosći, zo by Marija někajku hłuposć činić móhła.","Tom jo se starosćił, až by Marija někaku głuposć cyniś mógała."
Mafiozo wobhlada sej nětko radiski wot deleka.,Mafiozo woglědujo se něnto radiski wót dołojce.
"Marija njebě situaciji, małe dźěćo kubłać, zrosćena.","Marija njejo była situaciji, małe góle wótkubłaś, zrosćona."
Nochcu jenož po swojim wonkownym posudźowany być.,Njok jano pó swójom wenkownem pósuźowany byś.
Prezident Jackson powoła zetkanje swojeho kabineta.,Prezident Jackson jo pówołał zmakanje swójogo kabineta.
"Stawizna bě tak puzorna, sym so chory smjał.","Stawizny su byli tak wukludne, som se chóry smjał."
Bu zwyšenje přerězneje temperatury delnich worštow atmosfery planeta zwěsćene.,Bu pówušenje pśerězneje temperatury dolnych warstow atmosfery planeta zwěsćone.
Falšowane změnki přepławjachu kónc tydźenja wiki.,Wopacne změny su kóńc tyźenja wiki zalali.
"Mnozy měnja, italšćina je najrjeńša rěč swěta.","Wjele měnje, až jo italšćina nejrědnjejša rěc swěta."
Barby wašeho šata a wašich črijow so derje hromadźe hodźa.,Barwy wašeje suknje a wašych crjejow se derje gromadu góźe.
"Při roze přimnjemy woła, při słowje muža.","Pśi rogu pśimnjomy woła, pó słowje muskego."
"Čłowjek je swobodny; ale wón to njeje, hdyž tež na to njewěri.","Cłowjek jo lichy; ale njejo, gdyž teke na to njewěri."
"„By Bóh jedyn fotoaparat měł, njebychmy eksistowali“, wotmołwi Marija.","„By Bog jaden fotoaparat měł, my njeby eksistěrowali“, jo Marija wótegroniła."
"Wona mi wumjetuje, zo w naju mandźelstwje k najlěpšemu njesteji.","Wóna mě wumjatujo, až w naju manźelstwje k nejžlěpšemu njestoj."
Toyota Opa je jenož za Japansku postajeny.,Toyota Opa jo jano za Japańsku póstajony.
"Štóž chce so swobodnje wuwiwać, dyrbi wjele radow wotwobarać móc.","Chtož co se licho wuwijaś, musy wjele radow wótwoboraś móc."
"Sym žiwy, hačrunjež njedam žadyn signal žiwjenja.","Som žywy, lěcrownož njedajom žeden signal žywjenja."
Běch drje w swojim prjedawšim žiwjenju samotar.,Ja drje som w swójom pjerwjejšnem žywjenju samotaŕ był.
"Ty dowoliš twojim dźěćom, špatne filmy hladać.",Ty dowólijoš twójim źiśam špatne filmy glědaś.
Tom a Marija staj sej runje nowy wóz připołožiłoj.,Tom a Marija stej se rowno nowy wóz pśipórałej.
Bjezhłósna rozmołwa čłowjeka ze sobu samym mjenuje so „nutřkowny monolog“.,Pókšajźnemu rozgronoju cłowjeka ze sobu samym se groni „nutśikowny monolog“.
"Ja njejsym cyle zrozumił, što je zaměr Wašeho prašenja.","Njejsom ceło rozměł, co jo zaměr Wašogo pšašanja."
Tom wotwobara wuspěšnje wšěch nadběhowarjow.,Tom jo wótwoborał wuspěšnje wšych napadowarjow.
"Hólc pytaše, tola jeho bul bě daloko wot njeho zdaleny.","Gólc jo pytał, weto jo jogo balo było daloko wót njogo zdalone."
"Měnju, zo je mój namjet hódny, zo so wotwažuje.","Měnim, až jo mójo naraźenje gódne, až se rozwažujo."
Nochcu wo twojim žałosćenju ničo wjace słyšeć.,Njok nic wěcej wót twójogo žałosćenja słyšaś.
Lubosć přińdźe jenož kročel wot hidy zdalena.,Lubosć pśiźo jano kšaceń wót gramoty zdalona.
"Hdyž maš někajke prašenja, njewahaj so prašeć.","Gaž maš někake pšašanja, njewótlěkaj se pšašaś."
"Što móhł planet trjebać, zo by žiwjenje nastać dał?","Co mógał planet trjebaś, aby žywjenje nastaś dał?"
Tom a Marija podaštaj so w Africe na safari.,Tom a Marija stej se pódałej w Africe na safari.
Tež najrjeńša róža jednoho dnja zwjadnje.,Teke nejrědnjejša roža jadnogo dnja woprějo.
"Njewoblubowanym wosobam přiličimy dušnoty, kotrež nam wopokazaja, k złóstnistwu.","Njewoblubowanym wósobam pśilicujomy dobrośiwosći, kótarež nam wopokazuju, k złosnistwu."
Njemóžeš filmowe sekwency w tutej hrě přeskočić.,Njamóžoš filmowe sekwence w toś tom graśu pśeskócyś.
"Štóž na přichod njemysli, njezměje žadyn.","Chtož na pśichod njemysli, njezmějo žeden."
"Njedóstach žaneje přiležnosće, so holcy předstajić.","Njejsom dostał žednu góźbu, se źowćoju pśedstajiś."
"Chudoba haćeše jeho na tym, do šule chodźić.",Chudoba jo jomu zawoborała do šule chójźiś.
Snano leži najlěpši čas mojeho žiwjenja hižo za mnu.,Snaź lažy nejlěpšy cas mójogo žywjenja južo za mnu.
Tajkeho njejsym tydźenje dołho předawał.,Takego njejsom tyźenje dłujko pśedawał.
"Dyrbjach Toma před tym wobchować, najwjetši zmylk swojeho žiwjenja sčinić.","Som musał Toma pśed tym zwarnowaś, nejwětšu zmólku swójogo žywjenja cyniś."
Byšće Wy prošu wokomik na mój wačok kedźbować móhli?,Móžośo pšosym wokognuśe na móje brěmjeńka glědaś?
"Marija pomhaše maćeri při tym, zahrodu pokrjepić.","Marija jo pomagała mamje pśi tom, gumno pólewaś."
"Ja ći praju, zo sym wosobinsce přećiwo wotehnaću.","Ja śi gronim, až som wósobinski pśeśiwo wótpóranju."
"Njemóžeš ženje w předpolu wědźeć, hdy so wón zaso roznjemdri.","Njamóžoš žednje doprědka wěźeś, ga se wón zasej znjemudrijo."
"Tom dósta mjenje mzdy, hač měješe za sebje za přiměrjene.","Tom jo dostał mjenjej myta, ako jo měł za sebje za pśiměrjone."
W předsłowje sym so jenož najwažnišich dypkow dótknyła.,W pśedsłowje som se jano nejwažnjejšych dypkow dotyknuła.
"Ty njebudźeš ničo zhonić, hdyž so njeprašeš.","Ty njebuźoš nic zgóniś, gaž se njepšašaś."
"Tom a Marija praještaj Janej, jimaj je wostudłe.","Tom a Marija stej groniłej Janoju, jima jo wóstudne."
"Sy so na to zwučił, w studentskim domje bydlić?","Sy se na to pśiwucył, w studentskem domje bydliś?"
Wjedro poskićuje nam přez cyłe lěto přeco zaso něšto nowe.,Wjedro póbitujo nam pśez cełe lěto pśecej zasej něco nowe.
Druhdy swěći słónco a je přijomnje ćopło.,Wótergi swěśi słyńco a jo pśijaznje śopło.
"Wot wjedra je wotwisne, hač mamy dobru abo špatnu naladu.","Wót wjedra jo wótwisne, lěc mamy dobru abo špatnu mysl."
Tež naš swobodny čas je zdźěla wotwisny wot wjedra.,Teke naš lichy cas jo pó źělach wótwisny wót wjedra.
"Kupać dźemy dźě jenož, hdyž słónco swěći.","Kupaś źomy źe jano, gaž słyńco swěśi."
Wottud móžemy wjedro zhromadnje wobkedźbować.,Wóttudy móžomy wjedro zgromadnje wobglědowaś.
"Wotmołwy namakamy najlěpje, hdyž sej zemju wothorjeka wobhladamy.","Wótegrona namakajomy nejlěpjej, gaž sebje zemju wót górjejce woglědujomy."
"Derje, zo mamy raketu, z njej podamy so na wulět.","Derje, až mamy raketu, z njeju pódajomy se na wulět."
"Wothorjeka derje spóznajemy, zo zemju ćeńka powětrowa worštu wobdawa.","Wót górjejce derje póznajomy, až zemju śańka powětšowa warstwa wobdawa."
Powětr w atmosferje blisko zemje móže cyle wšelaki być.,Pówětš w atmosferje blisko zemje móžo ceło wšaki byś.
Přez włóžny powětr móža mróčele nastać a móže so dešćować.,Pśez mokšojty pówětš mógu mrokawy nastaś a móžo se padaś.
"A hdyž so powětr sylnje pohibuje, začuwamy to jako wětřik.","A gaž se pówětš mócnje pógibujo, zacuwamy to ako wětš."
Při tym nastawaja na přikład mróčele a dešć.,Pśi tom nastawaju na pśikład mrokawy a dešć.
"Trjebamy potajkim ćopłotu słónca, wodu a powětr, zo by wjedro nastało.","Trjebamy pótakem śopłotu słyńca, wódu a pówětš, aby wjedro nastało."
Mamy pak tež typiske wjedro za rozdźělne počasy.,Mamy pak teke typiske wjedro za rozdźělne lětne case.
"Hdyž je ćopło a so dešćuje, potom rostliny derje rostu.","Gaž jo śopło a se pada, rostliny derje rostu."
"W nazymje je zaso zymnišo, potom zhubja štomy poněčim swoje lisćo.","W nazymje jo zasej zymnjej, pótom zgubiju bomy swój list."
Wjedro poskića nam w kóždym počasu něšto nowe.,Wjedro póbitujo nam w kuždem lětnem casu něco nowe.
Tuž móžemy ze wšelakorym wjedrom w rozdźělnych počasach spokojom być.,Toś móžomy ze wšakorakim wjedrom w rozdźělnych lětnych casach spokojom byś.
"Woprawdźe špatne wjedro njedawa, jenož wopačna drasta.","Napšawdu špatne wjedro njedajo, jano wopacna drastwa."
"Trjebamy ćopłotu słónca, wodu a powětr, zo by wjedro nastało.","Trjebamy śopłotu słyńca, wódu a pówětš, aby wjedro nastało."
Wjedro móže so stajnje wot jednoho dnja na druhi měnjeć.,Wjedro móžo se stawnje wót jadnogo dnja na drugi změniś.
"Hdyž je swětło, ćopło a dešćikojte, potom rostliny derje rostu.","Gaž jo swětło, śopło a dešćowate, pón rostliny derje rostu."
Móžemy tuž ze wšelakorym wjedrom w rozdźělnych počasach spokojom być.,Móžomy pótakem ze wšakorakim wjedrom w rozdźělnych lětnych casach spokojom byś.
"Tež hdyž wone druhdy našim předstawam njewotpowěduje, płaći přeco stara mudrosć.","Teke gaž wótergi njewótpowědujo našym pśedstajenjam, płaśi pśecej stara mudrosć."
"Woprawdźe špatne wjedro njedawa, jenož wopačna drasta!","Napšawdu špatne wjedro njedajo, jano wopacna drastwa!"
Mamy wjele zajimawych prašenjow nastupajo wjedro.,Mamy wjele zajmnych pšašanjow nastupajucy wjedro.
Jedne prašenje sej najskerje najhusćišo stajimy.,Jadno pšašanje sebje nejskerjej nejcesćej stajamy.
Kajke wjedro změjemy jutře abo w přichodnym tydźenju?,Kake wjedro změjomy witśe abo w pśiducem tyźenju?
"To dźe najlěpje, hdyž wjedro wobkedźbujemy.","To źo nejžlěpjej, gaž wjedro wobglědujomy."
W tutym filmje dźe potajkim wo wobkedźbowanje wjedra.,W toś tom filmje źo pótakem wó wobglědowanje wjedra.
Při ekwatoru swěći słónco padorunje a jara intensiwnje.,Pśi ekwatorje swěśi słyńco padorownje a wjelgin intensiwnje.
Wobhladamy sej na přikład tropiske dešćowe lěsy.,Woglědujomy sebje na pśikład tropiske dešćowe lěse.
Pola nas w srjedźnej Europje knježi měrny klima.,Pla nas w srjejźnej Europje jo klimatiski wósrědny klima.
Mamy rozdźělne počasy a zwjetša wotměnjawe wjedro.,Mamy rozdźělne lětne case a zwětšego wótměnjate wjedro.
"Tute wjedro wobkedźbuje so běžnje wot ekspertow, mjenujemy jich meteorologow.","Toś to wjedro wobglědujo se stawnje wót ekspertow, pomjenjujomy jich meteorologow."
"Započinamy z pomróčenjom, tute móžemy tež bjez nastrojow wobkedźbować.","Zachopijomy z pómrocenim, toś to móžomy teke bźez instrumentow wobglědowaś."
Za wobkedźbowanje druhich wjedrowych elementow su měrjenske nastroje wězo pomocliwe.,Za wobglědowanje na druge wjedrowe elementy su měrjeńske rědy se wě pomocne.
K postajenju powětroweje temperatury trjebamy termometer.,Za póstajenje pówětšoweje temperatury trjebamy termometer.
"Dalši měrjenski nastroj, z kotrymž wjedro wobkedźbujemy, je barometer.","Dalšny měrjeński instrument, z kótarymž wjedro wobglědujomy, jo barometer."
"Wy so prašeće, što da je powětrowy ćišć?","Wy se pšašaśo, co ga jo pówětšowy śišć?"
"Su kónčiny z wjele powětrom, tak mjenowane wyšiny powětroweho ćišća.","Su strony z wjele pówětšom, tak pomjenjone cony wusokego pówětšowego śišća."
Dale móžemy wysokosć powětroweje włóžnoty měrić.,Dalej móžomy wusokosć pówětšoweje mokśiny měriś.
"Hdyž słónco na jězor swěći, potom so woda wupari.","Gaž słyńco na jazor swěśi, pótom se wóda wuparijo."
Přetworjenje wody na wódnu paru móžeš jenož indirektnje spóznać.,Pśetwórjenje wódy na wódnu spaŕ móžoš jano indirektnje spóznaś.
"Hdyž je horco, potom so woda spěšnje zhubi.","Gaž jo góruco, se wóda malsnje zgubijo."
Powětrowu włóžnotu móžemy tohorunja z wosebitym měrjenskim nastrojom postajeć.,Pówětšowu mokśinu móžomy tejerownosći z wósebnym měrjeńskim instrumentom póstajiś.
"Powětrowa włóžnota je hłowna přičina za to, zo mamy spadki.","Pówětšowa mokśina jo głowna pśicyna za to, až mamy spadki."
Z měrjakom wětra zwěsći so sylnosć wětřika.,Z měridłom wětša se zwěsćijo móc wětšyka.
"Kaž widźiće, je wobkedźbowanje wjedra jara wobšěrne.","Ako wiźiśo, jo wobglědowanje wjedra wjelgin wobšyrne."
Wjedro předpowědźić je jara ćežko a bohužel předpowědź přeco njepřitrjechi.,Wjedro pśedpowěźeś jo wjelgin śěžko a bóžko pśedpowěźenje pśecej njepśitrjefi.
Wjedrowa karta wisa w rjadowni pódla tafle.,Wjedrowa kórta wisy w rědowni pódla tofle.
"Prjedy hač startujetaj, chcetaj wědźeć, kajke budźe wjedro.","Nježli až startujotej, cotej wěźeś, kake buźo wjedro."
Marike a Aaron staj małe pućowanje planowałoj.,Marike a Aaron stej małe drogowanje planowałej.
"Wězo, wobhladataj sej wjedrowu předpowědź.","Se wě, woglědajotej se pśedpowěźenje wjedra."
"Zo móhli tajku předpowědź nastajić, wobkedźbuja eksperća wjedro.","Aby mógali take pśedpowěźenje nastajiś, wobglěduju fachniki wjedro."
Za to wužiwaja měrjenske nastroje we wjedrowych stacijach.,Za to wužywaju měrjeńske instrumenty we wjedrowych stacijach.
Meteorologojo wužiwaja hišće wjele dalšich móžnosćow k wobkedźbowanju wjedra.,Meteorologi wužywaju hyšći wjele dalšnych móžnosćow k wobglědowanju wjedra.
"Z pomocu wulkich kompjuterow wuliča potom, kajke wjedro prawdźepodobnje změjemy.","Z pomocu wjelikich kompjuterow wulicyju pótom, kake wjedro nejskerjej změjomy."
Předpowědź staj Marike a Aaron w nowinje hižo namakałoj.,Pśedpowěsć stej Marike a Aaron w casniku južo namakałej.
"Derje, zo mamy profesora Lunatusa po boku.","Derje, až mamy profesora Lunatusa pśi boce."
"Wón budźe nam pomhać, zo to wšitko wuhódamy.","Wón buźo nam pomagaś, až to wšo wugódajomy."
Na wjedrowej karće namakamy rozdźělne znamješka z mróčelemi a słóncami.,Na wjedrowej kórśe namakajomy rozdźělne znamuška z mrokawami a słyńcami.
"Znamješka praja nam, kajke wjedro w kónčinach na karće budźe.","Znamuška nam gronje, kake wjedro w stronach na kórśe buźo."
"Symbol słónco steji za bjezmróčelowe, słónčne wjedro.","Symbol słyńco stoj za słyńcne wjedro, bźez mrokawow."
Dawa takrjec za kóžde wjedro so hodźacy symbol.,Dajo mógali groniś za kužde wjedro se góźecy symbol.
Mamy we wšelakich počasach jara rozdźělne wjedro.,Mamy we wšakich lětnych casach wjelgin rozdźělne wjedro.
"Nětko wonaj wěstaj, zo budźe słónco swěćić.","Něnto wónej wěstej, až buźo słyńco swěśiś."
Na wjedrowej karće steja tež předpowědźene temperatury.,Na wjedrowej kórśe stoje teke pśedpowěźone temperatury.
"Derje, předpowědź temperatury staj wonaj tež wuslědźiłoj.","Derje, pśedpowěźenje temperatury stej teke wuslěźiłej."
Za pućowanje změjetaj idealne wuměnjenja.,Za drogowanje změjotej idealne wuměnjenja.
"Tak móžetaj tola skónčnje startować, abo?","Tak móžotej źe skóńcnje startowaś, abo?"
"Směr kłokow pokazuje, z kotreho wobzorosměra wětřik wěje.","Směr šypkow pokazujo, z kótarego njebjaskego směra wětš wjejo."
Spěšnosć wětřika podawa so z pomocu ličbow.,Malsnosć wětša pódawa se z pomocu licbow.
"Čim wjetša je ličba, ćim sylnišo wětřik duje.","Šym wětša jo licba, śim mócnjej wětš dujo."
Na wjedrowej karće móže hišće wjele dalšich informacijow być.,Na wjedrowej kórśe móžo hyšći wjele dalšnych informacijow byś.
To smy hižo w filmje wo wobkedźbowanju wjedra zeznali.,To smy južo w filmje wó wobglědowanju wjedra póznali.
"Nadźijamy so wězo, zo njepřekwapi jeju hinaše wjedro.","Naźejamy se se wě, až njepśechwatajo jeju hynakše wjedro."
Kak mróčele docyła nastanu a čehodla so dešćuje?,Kak mrokawy scełego nastanu a cogodla se dešćujo?
Z wody stanje so njewidźomna wódna para.,Z wódy bywa njewidobna wódna spaŕ.
Něšto podobne stawa so na zemi přez słónčnu ćopłotu.,Něco pódobnego stawa se na zemi pśez słyńcnu śopłotu.
"Tutu wódnu paru w powětře, kotruž njewidźimy, mjenujemy powětrowu włóžnotu.","Toś tej wódnej spari w pówětšu, kótaruž njewiźimy, pomjenjujomy pówětšowu mokśinu."
"Hdyž so wódna para sylnje wochłódnja, stanje so zaso z běžitej wodu.","Gaž se wódna spaŕ mócnje wochłoźijo, bywa zasej běžna wóda."
To móžeš derje při tutym škleńčanym wěku wobkedźbować.,To móžoš derje pśi toś tom głažanem wěku wobglědowaś.
"Hdyž stanje so wódna para zaso z wodu, prajimy, zo wona kondensuje.","Gaž wordujo wódna spaŕ zasej wóda, gronimy, až wóna kondensěrujo."
"Přez wochłódnjenje wódna para kondensuje, nastawaja małe kapki wody.","Pśez wochłoźenje wódna spaŕ kondensěrujo, nastawaju małe chrapki wódy."
"Hdyž so wjele tajkich małych kapkow wody nahromadźi, nastanje mróčel.","Gaž se wjele takich małych chrapkow wódy nagromaźijo, nastanjo mrokawa."
Mróčele móža jara rozdźělnje wupadać a swoju formu měnjeć.,Mrokawy mógu wjelgin rozdźělnje wuglědaś a swóju formu změnjaś.
"Eksistuja małe a wulke mróčele, swětłe a ćmowe dešćikowe mróčele.","Dajo małe a wjelike mrokawy, swětłe a śamne dešćowe mrokawy."
A samo nimale čorne njewjedrowe mróčele.,A samo pśisamem carne njewjedrowe mrokawy.
"Zwjetša wobsteja spadki z dešćowych kapkow, z běžiteje wody.","Zwětšego wobstoje spadki z dešćowych chrapkow, z běžneje wódy."
Wyše toho rozeznawamy dešć po swojej sylnosći.,Wušej togo rozeznawamy dešć pó swójej mócnosći.
"Mamy sylny dešć, potom prajimy, zo so lije.","Mamy mócny dešć, pótom gronimy, až se lejo."
"Mamy słaby dešć, potom prajimy, zo so miholi.","Mamy słaby dešć, pótom gronimy, až se pjeršy."
Nimo dešća mamy hišće dalše družiny spadkow.,Mimo dešća mamy hyšći dalšne družyny spadkow.
"Jeli su temperatury niske dosć, potom móže so sněžić.","Jolic su temperatury niske dosć, pótom móžo se sněg padaś."
"Sněh wobsteji z wjele małych lodowych kristalow, ze zmjerznjeneje wody.","Sněg wobstoj z wjele małych lodowych kristalow, ze zamarznjoneje wódy."
Tute móličke lodowe kristale hromadźa so k tołstym sněženkam.,Toś te małučke kristale zgromaźuju se k tłustym sněžynkam.
Tute widźimy potom jako mróčel na njebju.,Te wiźimy pótom ako mrokawu na njebju.
Tak nastawa zwjetša rano zahe na łukach rosa.,Tak nastawa zwětšego rano jěsno na łukach rosa.
Tajke drobničke lodowe kristale mjenujemy potom mróz.,Take drobnučke lodowe kristale pomjenjujomy pótom pómrozk.
Kurjawa je kaž husta mróčel direktnje při zemi.,Kurjawa jo ako gusta mrokawa direktnje pśi zemi.
Zdaloka wobkedźbowane móže tajke strašne njewjedro jara rjane być.,Zdaloka wobglědowane móžo take tšašne njewjedro wjelgin rědne byś.
Přez hibanje wětrow so mróčele elektrisce nabija.,Pśez gibanje wětšow se mrokawy elektriski naloduju.
"Hdyž so elektriske nabiće w mróčeli wotpina, potom so błyska.","Gaž se elektriske nalodowanje w mrokawje wulodujo, pótom se błyska."
"Nimo toho słyšimy sylny hrimot, hdyž błysk přez powětr třěli.","Mimo togo słyšymy mócne grimanje, gaž błysk pśez pówětš stśěla."
Při tajkim njewjedrje móže so dešćować abo samo krupy padać.,Pśi takem njewjedrje móžo se dešćowaś abo samo kšupy padaś.
Orkan je wosebje mócny a jara strašny wichor.,Orkan jo wósebnje mócny a wjelgin tšašny wětš.
"Su tež dalše ekstremne wjedrowe zjawy, kaž na přikład tornady.","Su teke dalšne ekstremne wjedrowe zjawy, ako na pśikład tornado."
"Wosebje w Americe nastawaja tute strašne, so wjerćate wichory.","Wósebnje w Americe nastawaju toś te tšašne, se wjerśece wichory."
Tornady móža jara wulke spěšnosće wětra docpěć a kraj zapusćić.,Tornado mógu wjelgin wjelike malsnosći wětša dojśpiś a kraj zapusćiś.
Tež nad tropiskimi oceanami nastanu husto njewjedra.,Teke nad tropiskimi oceanami nastawaju cesto njewjedra.
"Hdyž su wosebje ćežke, mjenujemy je tropiske wjerćate wichory.","Gaž su wósebnje śěžke, pomjenjujomy je tropiske wjerśece wichory."
"Wotwisne wot toho, hdźe wone wustupuja, maja rozdźělne pomjenowanja.","Wótwisnje wót togo, źo wóni wustupuju, maju rozdźělne pomjenjenja."
W Karibiskim morju rěkaja wichory hurrikan.,W Karibiskem mórju gronje wichoram hurrikan.
W zapadnym Pacifiku pak rěka wón taifun.,W pódwjacornem Pacifiku pak gronje jomu taifun.
A w Indiskim oceanje mjenuje so tajki wjerćaty wichor cyklon.,A w Indiskem oceanje mjenujo se taki wjerśecy wichor cyklon.
Mamy potajkim jara ekstremne a strašne wjedrowe zjawy.,Mamy pótakem wjelgin ekstremne a tšašne wjedrowe zjawy.
"Dawaja njewjedra, wichory, orkany, tornady a tropiske wjerćate wichory.","Dajo njewjedra, wichory, orkany, tornado a tropiske wjerśece wichory."
"Hadźicu staj spřihotowałoj, z njeje wjele móličkich kapkow wody kapa.","Lagwicu stej pśigótowałej, z njeje wjele drobnučkich chrapkow wódy kapju."
"Dyrbiš wědźeć, zo so słónčne swětło z rozdźělnych barbow zestaja.","Musyš wěźeś, až se słyńcne swětło z rozdźělnych barwow zestajajo."
Wšitke barbne podźěle swětła dóńdu hač k nam na zemju.,Wšykne barwne późěle swětła dojdu až k nam na zemju.
Rano a wječor ma słónčne swětło dlěši puć.,Zajtšo a wjacor ma słyńcne swětło dlejšu drogu.
Potom so wjele barbnych podźělow swětła přez atmosferu wufiltruje.,Pótom se wjele barwnych późělow swětła pśez atmosferu wufiltrujo.
Móžemy rano a wječor husto rjane čerwjene njebjo widźeć.,Móžomy zajtša a wjacor cesto rědne cerwjene njebjo wiźeś.
Wjedro skići nam woprawdźe rjane fenomeny.,Wjedro pódajo nam napšawdu rědne fenomeny.
W tutej šuli wuknje cyłkownje sto dźěći.,W toś tej šuli wuknjo dogromady sto źiśi.
Lětnik je dwučarowje do wobeju rjadownjow dźěleny.,Lětnik jo dwójośěgowje do wobeju rědownjowu źělony.
Najwjace šulow w našej wokolinje su dwučarowe.,Nejwěcej šulow w našej wokolinje su dwójośěgowe.
Wosebje ći hižo po krótkim přebytku swójbna atmosfera napadnje.,Wósebnje śi južo pó krotkem pśebywanju familijowa atmosfera nadpadnjo.
Rozmołwy w přestawkach běchu za mnje jara wunošne.,Rozgrona w pśestawkach su byli za mnjo wjelgin wunosne.
"Šulski nawoda předstaji mi moju mentorku, anonymizowanu jako knjeni A.","Šulski wjednik jo mě pśedstajił móju mentorku, anonymizěrowanu ako kněni A."
Smědźach sej potajkim swójski hodźinski plan zestajeć.,Směła som sebje stakim swójski góźinski plan zestajaś.
"W předpolu běše mi knjeni A přewostajiła, hdźež sedźu.","Do togo jo mě kněni A pśewóstajiła, źož sejźim."
To zmóžni mi detailěrowane wobkedźbowanja ze wšelakich rumnostnych perspektiwow.,To jo mě zmóžniło nadrobne wobglědowanja ze wšakorakich rumnostnych perspektiwow.
Změna pozicije wuskutkowa wjace hač bych sej mysliła.,Změna pozicije jo wustatkowała wěcej ako by se mysliła.
"Kotru rólu w cyłym podawku zabrach, njewědźachu šulerjo na spočatku.","Kótaru rolu som w cełem tšojenju zabrała, njejsu wukniki na zachopjeńku wěźeli."
"Jako swoje městno mjez šulerjemi zabrach, dźiwachu so dźěći.","Ako som swójo městno mjazy wuknikami zabrała, su se źiśi źiwali."
Jako ćicha wobkedźbowarka běch skerje pasiwna.,Ako śicha wobglědowaŕka som była skerjej pasiwna.
Rólu ćicheje wobkedźbowarki mějach pak bórze wopušćić.,Rolu śicheje wobglědowaŕki pak som měła skóro spušćiś.
"Moje wobkedźbowanje přewjedźech zakryte, zo njebych wuslědk sfalšowała.","Mójo wobglědowanje som pśewjadła zakšyte, aby wuslědk njesfalšowała."
"Byrnjež sej to předewzach, njeporadźi so mi, dospołnje pasiwna wostać.","Lěcrownož sebje to pśedewzeła som, njejo se mě raźiło, dopołnje pasiwna wóstaś."
Dworowu přestawku wužiwach k ćichemu wobkedźbowanju šulerjow.,Dwórowu pśestawku som wužywała k sćichemu wobglědowanju wuknikow.
"Husto so prašach, hač bychu podobnje abo dospołnje hinak reagowała.","Cesto som se pšašała, lěc by pódobnje abo ceło hynac reagěrowała."
We wěstych situacijach sym intuitiwnje hinak hač knjeni A jednała.,We wěstych situacijach som jadnała intuitiwnje hynac ako kněni A.
Moje wobkedźbowanske ćežišćo ležeše na metodach za kooperatiwne wuknjenje.,Móje wobglědowańske śěžyšćo jo lažało na metodach za kooperatiwne wuknjenje.
Z wobšěrnymi znajomosćemi metodow chcu kóždeho wuknjenskeho typa derje podpěrować.,Z wobšyrnymi znajobnosćami metodow cu kuždego wuknjeńskego typa derje pódpěrowaś.
"Tuta wobstejnosć zmóžni mi, so derje na nowu situaciju dać.","Toś ta wobstojnosć zmóžnijo mě, se derje daś na nowu situaciju."
Tema poslednjeje hodźiny wěcneje wučby ma so dale wjesć.,Tema slědneje góźiny wěcneje wucby ma se dalej wjasć.
Po wutworjenju skupinow so kóždej skupinje skupinske blido připokaza.,Pó wutwórjenju kupkow jo se kuždej kupce pśipokazało kupkowe blido.
Tutu skupinu běch do toho hižo intensiwnišo wobkedźbowała.,Toś tu kupku som do togo južo intensiwnjej wobglědowała.
Praworóžk wosrjedź łopjena njebu z toho časa hižo popisany.,Pšawokut srjejź łopjena njejo se z togo casa južo pópisał.
Tuta metoda njebě mi z mojeho zakładnošulskeho časa znata.,Toś ta metoda njejo mě znata była z mójogo zakładnošulskego casa.
Wuměna z partnerom bě jenož zrědka dowolena.,Wuměna z partnarjom jo była jano rědko dowólona.
"Wuknjenje spěchowace su nadawki, kiž šulerjam wuspěchi zmóžnja.","Wuknjenje spěchujuce su nadawki, kenž zmóžniju wuknikam wuspěchy."
Slědowace prašenje staji so mi při tym tola hišće.,Slědujuce pšašanje stajijo se mě pśi tom weto hyšći.
Wuměna mjez interakciskimi partnerami je jedna forma kooperatiwneho wuknjenja.,Wuměna mjazy partnarjami interakcije jo jadna forma kooperatiwnego wuknjenja.
Přez wuměnu mjez interakciskimi partnerami so kmanosće a znajomosće dobudu.,Pśez wuměnu mjazy partnarjami interakcije se zamóžnosći a znajobnosći dobywaju.
